Course_Title,Skills_Taught
(ISC)² Systems Security Certified Practitioner (SSCP),"['Risk Management', 'Access Control', 'Asset', 'Incident Detection and Response', 'Cloud Computing Security', 'Wireless Security', 'Security Software']"
.NET FullStack Developer,"['Web API', 'Web Development', 'Cascading Style Sheets (CSS)', 'HTML', 'React (Web Framework)', 'RESTful APIs', 'C# programming', 'API Integration', 'Model–View–Controller (MVC)', 'asp.net']"
21st Century Energy Transition: how do we make it work?,[]
A Crash Course in Causality:  Inferring Causal Effects from Observational Data,"['Instrumental Variable', 'Propensity Score Matching', 'Causal Inference', 'Causality']"
A life with ADHD,"['differential diagnosis and comorbidities', 'symptoms assessment', 'accomodation', 'Neuroscience', 'intervention']"
AI & Law,[]
AI Applications in Marketing and Finance,[]
AI Applications in People Management,[]
AI For Business,"['Artificial Intelligence (AI)', 'Machine Learning', 'Management', 'Analytics', 'Fraud Prevention']"
AI For Everyone,"['Workflow of Machine Learning projects', 'AI terminology', 'AI strategy', 'Workflow of Data Science projects']"
AI For Everyone （すべての人のためのAIリテラシー講座）,[]
AI Foundations for Everyone,"['Data Science', 'Deep Learning', 'Artificial Intelligence (AI)', 'Machine Learning', 'Watson (Computer)']"
AI Foundations: Prompt Engineering with ChatGPT,[]
AI Fundamentals for Non-Data Scientists,[]
AI Product Management,"['Data Science', 'Predictive Modelling', 'Artificial Neural Network', 'Ethics', 'Artificial Intelligence (AI)', 'Machine Learning', 'Product Management', 'product design', 'User Experience (UX)', 'Modeling', 'Privacy', 'Project Management']"
AI Strategy and Governance,[]
AI and Climate Change,"['AI for Good project framework', 'Biodiversity Monitoring', 'Supervised Learning', 'Computer Vision', 'Wind Power Generation Modeling']"
AI and Public Health,"['Air Quality Monitoring', 'AI for Good project framework', 'Jupyter notebooks', 'Supervised Learning', 'Exploratory Data Analysis']"
AI for Good,"['Natural Language Processing', 'Topic Model', 'Air Quality Monitoring', 'AI for Good project framework', 'Biodiversity Monitoring', 'Time Series', 'Damage Assessment', 'Jupyter notebooks', 'Supervised Learning', 'Exploratory Data Analysis', 'Computer Vision', 'Wind Power Generation Modeling']"
AI for Medical Diagnosis,"['Deep Learning', 'Image Segmentation', 'Machine Learning', 'model evaluation', 'Multi-class classification']"
AI for Medicine,"['model interpretation', 'Image Segmentation', 'natural language extraction', 'Machine Learning', 'time-to-event modeling']"
AI in Healthcare,[]
"AI, Business & the Future of Work",[]
"AI, Empathy & Ethics",[]
AWS Cloud Practitioner Essentials,"['Cloud Computing Security', 'AWS cloud', 'cloud networking', 'Cloud Computing', 'Migration and Innovation']"
AWS Cloud Solutions Architect,"['AWS Certification Preparation', 'Cloud Architecture', 'Architecting on AWS', 'Data Lakes', 'AWS Management Console']"
AWS Cloud Technical Essentials,"['AWS Identity and Access Management', 'Networking on AWS', 'AWS Management Console', 'Cloud Computing', 'aws security']"
AWS Cloud Technology Consultant,"['Data Management', 'teamwork', 'Cloud Architecture', 'Cloud Computing Security', 'Interpersonal Communication', 'Problem Solving', 'Cloud Management', 'Cloud Strategy']"
AWS Fundamentals,"['AWS Identity and Access Management', 'Networking on AWS', 'AWS Management Console', 'Cloud Computing', 'aws security', 'Software Architecture', 'Data Analysis', 'Data Visualization (DataViz)', 'AWS Account Management']"
Abnormal Psychology,"['Motivation', 'History', 'Psychology', 'behavior', 'goal setting']"
Academic English: Writing,"['Punctuation', 'Essay Writing', 'Academic Writing', 'Writing']"
Accelerated Computer Science Fundamentals,"['Run-time Analysis', 'Algorithms', 'Hash Table', 'Trees (Data Structures)', 'Object-Oriented Programming (OOP)']"
Accounting: Principles of Financial Accounting,"['Financial Accounting', 'Accounting', 'Financial Statement', 'Balance Sheet']"
Achieving Personal and Professional Success,"['goal setting', 'Communication', 'Negotiation', 'Deception', 'Happiness', 'Personality Development', 'Personal Development']"
Addiction Treatment: Clinical Skills for Healthcare Providers,"['Substance Use Disorder Treatment', 'Substance Use Disorder Prevention', 'Substance Use Disorder Screening', 'Substance Use Disorder', 'Substance Use Disorder Diagnosis']"
Advanced Business Analytics,"['Data Analysis', 'Data Visualization (DataViz)', 'Mathematical Optimization', 'SQL']"
Advanced Data Science with IBM,"['Data Science', 'Internet Of Things (IOT)', 'Deep Learning', 'Apache Spark']"
Advanced Embedded Linux Development,"['Linux', 'Kernel Programming', 'Embedded Systems', 'C Programming', 'Embedded Software']"
Advanced Learning Algorithms,"['Artificial Neural Network', 'Xgboost', 'Tensorflow', 'Tree Ensembles', 'Advice for Model Development']"
Advanced Machine Learning on Google Cloud,[]
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",[]
Agile Development,"['hypothesis-driven development', 'Design Thinking', 'User Experience (UX)', 'agile', 'Lean Startup']"
Agile Leadership,"['Agile Leadership', 'Agile Management', 'Scrum (Software Development)', 'Change Management', 'Project Management']"
Agile Project Management,"['Coaching', 'Influencing', 'Agile Management', 'Problem Solving', 'Scrum']"
Agile with Atlassian Jira,"['Project Management', 'Agile Management', 'work management', 'Scrum (Software Development)']"
Akamai Customer Consulting and Support,"['Debugging techniques', 'Basics of Databases (SQL/NoSQL)', 'Linux/Unix System Administration', 'Computer Network', 'Troubleshooting']"
Akamai Network Engineering,"['Troubleshooting Skills', 'Debugging techniques', 'Basics of Databases (SQL/NoSQL)', 'Linux/Unix System Administration', 'Computer Network']"
Algae Biotechnology,[]
Algebra: Elementary to Advanced,[]
Algorithms,"['Algorithms', 'Dynamic Programming', 'Greedy Algorithm', 'Divide And Conquer Algorithms']"
Algorithms for Battery Management Systems,"['Design equivalent-circuit models for lithium-ion battery cells', 'Implement state-of-charge estimators for lithium-ion battery cells', 'Understand how lithium-ion battery cells work and basic requirements of battery-management systems', 'Implement state-of-health estimators for lithium-ion battery cells', 'Understand balancing requirements and implement power estimators for lithium-ion battery packs']"
American Contract Law I,[]
An Introduction to Accessibility and Inclusive Design,[]
An Introduction to American Law,"['American Law', 'Common Law', 'Law', 'Constitution']"
An Introduction to Consumer Neuroscience & Neuromarketing,"['Consumer Behaviour', 'Marketing', 'Consumer Neuroscience', 'Neuromarketing']"
An Introduction to Programming the Internet of Things (IOT),"['Arduino', 'Python Programming', 'Internet Of Things (IOT)', 'Raspberry Pi']"
Analyze Data to Answer Questions,"['Spreadsheet', 'Data Analysis', 'SQL', 'Data Calculations', 'Data Aggregation']"
Analyze Datasets and Train ML Models using AutoML,"['Statistical Data Bias Detection', 'Multi-class Classification with FastText and BlazingText', 'Data ingestion', 'Exploratory Data Analysis', 'Automated Machine Learning (AutoML)']"
Analyze Network Traffic with TCPDump,[]
Anatomy,"['Respiratory system', 'human anatomy', 'Cardiovascular system', 'Gastrointestinal system', 'Musculoskeletal system']"
Android App Development,"['Software Testing', 'Android Software Development', 'Java Programming', 'Junit']"
Animal Behaviour and Welfare,"['Animal', 'Animal Behavior', 'Veterinary', 'Dog']"
Antibiotic Stewardship,[]
Análisis de Datos de Google,"['Determinación del tamaño de la muestra', 'Limpieza de datos', 'Integridad de datos', 'Hoja de cálculo', 'SQL', 'Visualización de Datos (DataViz)', 'Tableau Software', 'presentación', 'análisis de datos', 'Programación en R', 'R Markdown', 'Rstudio', 'Cuestionamiento', 'Resolución de problemas', 'Toma de decisiones', 'Recopilación de datos', 'Metadatos', 'Ética de datos', 'Portfolio de trabajo', 'Caso práctico', 'Cálculos en torno a los datos', 'Agregación de datos']"
Applied Computational Fluid Dynamics,[]
Applied Data Science,"['Predictive Modelling', 'Python Programming', 'Data Analysis', 'Data Visualization (DataViz)', 'Model Selection', 'Dashboards and Charts', 'dash', 'Matplotlib', 'Data Science', 'Pandas', 'Jupyter notebooks', 'Numpy', 'Methodology', 'Github', 'Jupyter Notebook', 'Data Science Methodology', 'K-Means Clustering']"
Applied Data Science Capstone,"['Methodology', 'Github', 'Jupyter Notebook', 'Data Science Methodology', 'K-Means Clustering']"
Applied Data Science with Python,"['Text Mining', 'Python Programming', 'Pandas', 'Matplotlib']"
Applied Data Science with R,"['Shiny Dashboards', 'Data Analysis and Modelling', 'R Programmin Language', 'Data Visualization (DataViz)', 'SQL & RDBMS']"
Applied Software Engineering Fundamentals,"['Linux', 'Software Design and Architecture', 'Python Programming', 'Git and GitHub', 'Software Development Lifecycle (SDLC)']"
Architecting with Google Compute Engine,"['Google Compute Engine', 'Virtual Machine', 'Network Architecture', 'Google Cloud Platform', 'Load Balancing', 'Virtual Private Network (VPN)', 'Autoscaling', 'Debugging', 'Cloud Storage', 'Data Store', 'Disaster Recovery', 'Site Reliability Engineering', 'Cloud Computing', 'Google App Engine (GAE)']"
Architecting with Google Kubernetes Engine,"['Google Compute Engine', 'Google App Engine (GAE)', 'Google Cloud Platform', 'Cloud Computing']"
Arizona State University TESOL,"['EFL', 'English Language', 'TESOL', 'ESL', 'English language teaching']"
Arm Cortex-M Architecture and Software Development,"['Cortex-M', 'Assembly Language', 'Computer Architecture', 'Microcontroller', 'C Programming']"
Artificial Intelligence in Marketing,"['Business Model', 'Digital Marketing', 'Network Effects', 'Marketing Strategy', 'Customer Engagement']"
Artificial Intelligence: an Overview,"['Artificial Intelligence (AI)', 'Ethical issues of artificial intelligence', 'Machine Learning', 'Legal issues of artificial intelligence']"
Arts and Heritage Management,"['Fundraising', 'Customer Relationship Management (CRM)', 'Management', 'Marketing']"
Ask Questions to Make Data-Driven Decisions,"['Spreadsheet', 'Questioning', 'Decision-Making', 'Problem Solving', 'Data Analysis']"
Aspectos básicos de la asistencia técnica,"['Linux', 'Código binario', 'Solución de problemas', 'Soporte al cliente']"
Aspectos básicos del diseño de la experiencia del usuario,"['Experiencia del usuario (UX)', 'Esquema', 'Diseño de la experiencia del usuario (UXD)', 'Investigación en UX', 'Prototipo']"
"Aspectos básicos: Datos, datos, en todas partes","['Visualización de Datos (DataViz)', 'Limpieza de datos', 'Hoja de cálculo', 'análisis de datos', 'SQL']"
Assess for Success: Marketing Analytics and Measurement,"['Digital marketing KPIs', 'Spreadsheet management', 'Presenting to stakeholders', 'Media planning and strategies', 'Marketing Analytics']"
Assets in Accounting,"['Accounts receivable and cash receipts', 'Inventory costing methods', 'PP&E Accounting', 'Asset Accounting', 'Depreciation']"
"Assets, Threats, and Vulnerabilities","['vulnerability assessment', 'threat analysis', 'Authentication', 'Cryptography', 'asset classification']"
Astronomy: Exploring Time and Space,"['Solar Systems', 'Chemistry', 'Theory Of Relativity', 'Astrobiology']"
Attract and Engage Customers with Digital Marketing,"['Website Structure', 'Customer Awareness', 'Google', 'Search Engine Marketing', 'Search Engine Optimization (SEO)']"
Auditing I: Conceptual Foundations of Auditing,[]
Autodesk CAD/CAM/CAE for Mechanical Engineering,"['Computer-Aided Engineering (CAE)', 'Manufacturing Process Management', 'Computed Aided Design', 'Computer-Aided Manufacturing', 'Mechanical Engineering']"
Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,"['Autocad', 'Design', 'Autodesk', 'Engineering', 'Computer-Aided Design (CAD)']"
Autodesk Certified Professional: Revit for Architectural Design Exam Prep,"['Autodesk', 'Engineering', 'Computer-Aided Design (CAD)', 'Architecture', 'Autodesk Revit Architecture']"
Automate Cybersecurity Tasks with Python,"['Computer Programming', 'Python Programming', 'Coding', 'PEP 8 style guide']"
"BI Foundations with SQL, ETL and Data Warehousing","['Cloud Databases', 'Python Programming', 'Jupyter notebooks', 'Relational Database Management System (RDBMS)', 'SQL', 'Data Warehousing', 'Cube and Rollup', 'Business Intelligence (BI)', 'Star and Snowflake Schema', 'cognos analytics', 'Linux', 'Bash (Unix Shell)', 'Extract Transform and Load (ETL)', 'Linux Commands', 'Shell Script', 'Apache Airflow', 'Apache Kafka', 'Data Pipelines', 'Data Engineer']"
BIM Fundamentals for Engineers,"['Construction Management', 'Mechanical Engineering', 'Beam Robotics', 'Civil Engineering']"
Battery Technologies,"['battery management systems', 'Electric Vehicles', 'battery types', 'battery charging']"
Bayesian Statistics,"['Bayesian Statistics', 'Data Science', 'R Programming', 'Data Analysis', 'Statistics']"
Become a CBRS Certified Professional Installer by Google,[]
Become a Journalist: Report the News!,"['Journalism', 'Writing', 'Professional', 'News Writing', 'Multimedia']"
Become an EMT,"['Emergency Medicine', 'Emergency Medical Technician', 'EMT', 'Trauma']"
Behavioral Finance,"['Behavioral Economics', 'Behavioral Finance', 'Cognitive Bias', 'Decision-Making', 'Finance']"
Big Data,"['Big Data', 'Neo4j', 'Mongodb', 'Apache Spark']"
Bioinformatics,"['Whole Genome Sequencing', 'Viterbi Algorithm', 'Suffix Tree', 'Python Programming', 'Algorithms', 'Unweighted Pair Group Method with Arithmetic Mean (UPGMA)', 'Bioinformatics']"
Biology Meets Programming: Bioinformatics for Beginners,"['Bioinformatics', 'Bioinformatics Algorithms', 'Biology', 'Python Programming']"
Biostatistics in Public Health,"['Statistics', 'Statistical Hypothesis Testing', 'variability', 'regression']"
Blockchain,"['Smart Contract', 'Ethereum', 'Blockchains', 'Solidity']"
Blockchain Revolution,[]
Blockchain Revolution in Financial Services,"['Collaborative Working Environment', 'Blockchain (Database)', 'Open Collaboration', 'Access Structure', 'Object Binding', 'Alcatel Business Communications', 'Centurylink', 'Base Address']"
Bookkeeping Basics,"['Basis Of Accounting', 'accounting software', 'Accounting Cycle', 'Creating Financial Statements', 'Double-Entry Bookkeeping System']"
"Brand Management: Aligning Business, Brand and Behaviour","['Corporate Branding', 'Brand Marketing', 'Brand Management', 'Brand Identity']"
Branding: The Creative Journey,"['Creativity', 'Journalism', 'Branding', 'Communication', 'CX']"
Build Basic Generative Adversarial Networks (GANs),"['Controllable Generation', 'WGANs', 'Conditional Generation', 'Components of GANs', 'DCGANs']"
Build Dynamic User Interfaces (UI) for Websites,"['Usability Testing', 'User Experience (UX)', 'Prototype', 'User Experience Design (UXD)']"
Build Wireframes and Low-Fidelity Prototypes,"['User Experience (UX)', 'UX Research', 'Wireframe', 'Prototype', 'User Experience Design (UXD)']"
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),"['Logic Gate', 'Computer Architecture', 'Assembly Languages', 'Hardware Description Language (HDL)']"
Building AI Powered Chatbots Without Programming,[]
Building Cloud Computing Solutions at Scale,"['Cloud Platforms', 'Cloud API', 'Machine Learning', 'Cloud Databases', 'Cloud Computing']"
Building No-Code Apps with AppSheet,"['AppSheet', 'Google Sheets', 'No-code application development', 'AppSheet Automation']"
Business Analytics,"['Machine Learning', 'Analytics', 'Data Analysis', 'power bi', 'Rstudio']"
Business Analytics,"['Customer Analytics', 'Analytics', 'Business Analytics', 'Decision Tree']"
Business Analytics with Excel: Elementary to Advanced,"['Business Analytics', 'Spreadsheet', 'Microsoft Excel', 'Solver', 'Modeling']"
Business Data Management and Communication,"['Asset Management', 'Business Analytics', 'Financial Accounting', 'Data Analysis', 'Rstudio']"
Business English Communication Skills,"['Business Plan', 'English Language', 'Meeting', 'Presentation']"
Business Foundations,"['Financial Accounting', 'Accounting', 'Financial Statement', 'Balance Sheet', 'Decision-Making', 'Change Management', 'Human Resources (HR)', 'Process Management', 'Operations Management', 'Six Sigma', 'Inventory', 'Finance', 'Marketing', 'Positioning (Marketing)', 'Marketing Strategy', 'Customer Satisfaction', 'Discounted Cash Flow', 'Corporate Finance', 'Cash Flow Analysis']"
Business Model Innovation,"['Strategic Management', 'Business Model', 'Business Modeling', 'Business Strategy']"
Business Statistics and Analysis,"['Microsoft Excel', 'Linear Regression', 'Statistical Hypothesis Testing']"
Business Strategies for A Better World,"['Social Return On Investment (SROI)', 'Corruption', 'Social Entrepreneurship', 'Socially Responsible Investing']"
Business Strategy,"['Strategic Analysis', 'Strategic Management', 'Strategic Thinking', 'Business Strategy']"
Business Sustainability in the Circular Economy,[]
Business Value and Project Management,"['Organizational Structure', 'Project Execution', 'Financial Accounting', 'Strategic Management', 'Project Management']"
Business Writing,"['Grammar', 'Communication', 'Business Writing', 'Writing']"
Business and Financial Modeling,"['Financial Modeling', 'Microsoft Excel', 'Simulation', 'Linear Programming (LP)']"
Business and Marketing Strategies,[]
C Programming with Linux,"['Linux', 'Debugging', 'Algorithms', 'Software Engineering', 'C Programming', 'Computer Programming', 'Computer Science', 'Compiler']"
C# Programming for Unity Game Development,"['Crt0', 'For Loop', 'Console Applications', 'Foreach Loop', 'Video Game Development', 'C Sharp (C#) (Programming Language)', 'Unity (User Interface)', 'Game Programming']"
C++ Programming for Unreal Game Development,"['Video Game Development', 'Game Programming', 'Unreal Engine (User Interface)', 'C++ (Programming Language)']"
CAD and Digital Manufacturing,"['Computer-Aided Design (CAD)', 'Autodesk', 'Manufacturing Processes', 'Sustainable Design']"
COBOL Programming with VSCode,"['VSCode', 'ZOWE', 'Common Business Oriented Language (COBOL)', 'Computer Programming', 'IBM Z']"
COVID-19 Contact Tracing,"['Ethics', 'Active Listening', 'Public Health', 'Contact Tracing', 'Epidemiology']"
